Name,CountryCode,Population
A CoruÃ±a (La CoruÃ±a),ESP,243402
Aalborg,DNK,161161
Abadan,IRN,206073
Abbotsford,CAN,105403
Aberdeen,GBR,213070
Abiko,JPN,126670
Abohar,IND,107163
Abu Dhabi,ARE,398695
Accra,GHA,1070000
Achalpur,IND,96216
Acheng,CHN,197595
Adamstown,PCN,42
Adana,TUR,1131198
Addis Abeba,ETH,2495000
Adelaide,AUS,978100
Adiyaman,TUR,141529
Adoni,IND,136182
Afyon,TUR,103984
Agadir,MAR,155244
Agartala,IND,157358
AgaÃ±a,GUM,1139
Agra,IND,891790
Ahmadpur East,PAK,96000
Ahmedabad,IND,2876710
Ahome,MEX,358663
Ahvaz,IRN,804980
Aix-en-Provence,FRA,134222
Aizawl,IND,155240
Aizuwakamatsu,JPN,119287
Ajman,ARE,114395
Ajmer,IND,402700
Akashi,JPN,292253
Akishima,JPN,106914
Akita,JPN,314440
Akola,IND,328034
Akure,NGA,162300
Alagoinhas,BRA,126820
Alanya,TUR,117300
Albacete,ESP,147527
Alberton,ZAF,410102
AlcalÃ¡ de Henares,ESP,164463
AlcorcÃ³n,ESP,142048
Alessandria,ITA,90289
Alexandria,EGY,3328196
Alger,DZA,2168000
Alicante [Alacant],ESP,272432
Aligarh,IND,480520
Alkmaar,NLD,92713
Allahabad,IND,792858
Allappuzha (Alleppey),IND,174666
Almaty,KAZ,1129400
Almirante Brown,ARG,538918
Alor Setar,MYS,124412
Alvorada,BRA,175574
Alwar,IND,205086
Amadora,PRT,122106
Amagasaki,JPN,481434
Ambala,IND,122596
Ambala Sadar,IND,90712
Ambato,ECU,169612
Ambattur,IND,215424
Ambon,IDN,249312
Americana,BRA,177409
Amersfoort,NLD,126270
Amman,JOR,1000000
Amol,IRN,159092
Amoy [Xiamen],CHN,627500
Amravati,IND,421576
Amritsar,IND,708835
Amsterdam,NLD,731200
Anaheim,USA,328014
Anantapur,IND,174924
Ancona,ITA,98329
Andimeshk,IRN,106923
Andria,ITA,94443
Angeles,PHL,263971
Angra dos Reis,BRA,96864
Anjo,JPN,153823
Ankang,CHN,142170
Anqing,CHN,250718
Ansan,KOR,510314
Anshan,CHN,1200000
Antipolo,PHL,470866
